196	242	3	881250949
244	51	2	880606923
115	265	2	881171488
305	451	3	886324817
6	86	3	883603013
62	257	2	879372434
286	1014	5	879781125
234	1184	2	892079237
38	95	5	892430094
301	98	4	882075827
225	193	4	879539727
290	88	4	880731963
97	194	3	884238860
181	1081	1	878962623
99	4	5	886519097
251	100	4	886271884
115	20	3	881171009
201	219	4	884112673
57	304	5	883698581
243	15	3	879987440
92	1049	1	890251826
276	54	3	874791025
267	518	5	878971773
145	275	2	885557505
28	209	4	881961214
135	23	4	879857765
216	144	4	880234639
166	328	5	886397722
198	498	3	884207492
271	346	4	885844430
62	21	3	879373460
279	832	3	881375854
94	789	4	891720887
128	485	3	879966895
298	317	4	884182806
222	750	5	883815120
41	265	3	890687042
250	140	3	878092059
244	815	4	880605185
13	836	2	882139746
269	504	4	891449922
259	117	4	874724988
42	794	3	881108425
155	323	2	879371261
68	117	4	876973939
298	281	3	884183336
279	1240	1	892174404
66	298	4	883601324
26	258	3	891347949
7	455	4	891353086
119	328	4	876923913
130	379	4	875801662
292	174	5	881105481
259	255	4	874724710
272	178	5	879455113
151	10	5	879524921
294	109	4	877819599
200	318	5	884128458
92	172	4	875653271
63	242	3	875747190
279	68	4	875307407
299	1018	3	889502324
194	54	3	879525876
295	218	5	879966498
83	623	4	880308578
214	334	3	891542540
192	476	2	881368243
100	344	4	891374868
181	264	2	878961624
85	507	4	879456199
269	367	3	891450023
59	468	3	888205855
193	96	1	889124507
292	11	5	881104093
219	82	1	889452455
218	209	5	877488546
201	767	4	884114505
301	554	3	882078830
170	749	5	887646170
184	218	3	889909840
1	160	4	875072547
128	508	4	879967767
82	183	3	878769848
133	751	3	890588547
215	212	2	891435680
267	410	4	878970785
13	56	5	881515011
286	237	2	875806800
294	271	5	889241426
308	649	4	887739292
61	678	3	892302309
222	151	3	878182109
87	40	3	879876917
299	577	3	889503806
21	558	5	874951695
234	206	4	892334543
121	291	3	891390477
52	250	3	882922661
43	815	4	883956189
83	78	2	880309089
249	188	4	879641067
59	715	5	888205921
291	80	4	875086354
216	531	4	880233810
117	1047	2	881009697
11	558	3	891904214
269	217	2	891451610
111	328	4	891679939
181	938	1	878961586
299	305	3	879737314
72	1110	3	880037334
269	246	5	891457067
25	357	4	885852757
299	303	3	877618584
63	289	2	875746985
298	486	3	884183063
256	849	2	882164603
164	406	2	889402389
94	184	2	891720862
128	371	1	879966954
94	720	1	891723593
129	873	1	883245452
151	176	2	879524293
193	879	3	889123257
293	249	3	888905229
197	346	3	891409070
276	142	3	874792945
131	126	4	883681514
193	941	4	889124890
280	508	3	891700453
59	742	3	888203053
130	642	4	875216933
276	40	3	874791871
308	81	5	887737293
307	94	3	877122695
222	781	3	881059677
121	740	3	891390544
269	22	1	891448072
245	1028	5	888513447
10	7	4	877892210
269	234	1	891449406
243	1039	4	879988184
282	325	1	881703044
118	200	5	875384647
276	70	4	874790826
226	242	5	883888671
62	1016	4	879373008
280	631	5	891700751
1	202	5	875072442
109	127	2	880563471
130	1246	3	876252497
42	588	5	881108147
246	409	2	884923372
144	709	4	888105940
5	225	2	875635723
8	22	5	879362183
276	188	4	874792547
299	134	4	878192311
165	216	4	879525778
200	11	5	884129542
234	626	4	892336358
49	302	4	888065432
286	153	5	877531406
205	304	3	888284313
268	147	4	876514002
7	492	5	891352010
248	234	4	884534968
262	931	2	879790874
201	272	3	886013700
263	568	4	891299387
189	20	5	893264466
146	1022	5	891458193
267	121	3	878970681
126	294	3	887855087
125	80	4	892838865
13	780	1	882142057
42	44	3	881108548
268	21	3	875742822
29	245	3	882820803
102	70	3	888803537
77	172	3	884752562
49	1003	2	888068651
197	688	1	891409564
295	190	4	879517062
272	317	4	879454977
195	1052	1	877835102
44	449	5	883613334
194	172	3	879521474
94	62	3	891722933
14	269	4	892242403
244	183	4	880606043
1	265	4	878542441
299	387	2	889502756
286	746	4	877533058
62	665	2	879376483
268	955	3	875745160
188	143	5	875072674
69	268	5	882027109
10	461	3	877888944
194	152	3	879549996
292	589	4	881105516
79	50	4	891271545
279	122	1	875297433
222	448	3	878183565
297	57	5	875239383
42	625	3	881108873
230	1444	2	880485726
244	310	3	880601905
6	301	2	883600406
83	215	4	880307940
128	317	4	879968029
184	412	2	889912691
256	86	5	882165103
140	332	3	879013617
126	245	3	887854726
20	208	2	879669401
222	379	1	878184290
72	568	4	880037203
87	401	2	879876813
1	155	2	878542201
161	318	3	891170824
196	393	4	881251863
82	477	3	876311344
203	93	4	880434940
145	56	5	875271896
84	742	3	883450643
197	347	4	891409070
279	982	3	875298314
239	491	5	889181015
185	287	5	883526288
297	89	4	875239125
303	68	4	879467361
1	117	3	874965739
224	583	1	888103729
198	258	4	884204501
