2	1	1	2	5	963331200
4	1	1	4	4	963331200
7	1	1	7	4	964454400
8	1	1	8	4	964713600
11	1	1	11	5	965664000
14	1	1	14	3	967651200
19	1	1	19	5	980352000
34	1	1	34	5	968947200
43	1	1	43	5	969984000
44	1	1	44	4	970156800
47	2	1	47	4	964022400
48	2	1	48	5	1074355200
51	2	1	51	5	1082563200
54	2	1	54	4	1106064000
55	2	1	55	4	1107878400
60	2	1	60	4	1209571200
64	3	1	64	4	976032000
81	4	1	81	2	965404800
89	4	1	90	5	966355200
95	4	1	98	5	1003507200
103	5	1	107	5	1122048000
35	6	1	114	5	1088438400
109	6	1	115	5	1234800000
122	11	1	132	5	961603200
101	11	1	134	4	965577600
123	11	1	136	5	965750400
136	11	1	152	4	1001347200
141	11	1	157	2	1101225600
145	11	1	161	5	1171468800
149	11	1	166	2	971971200
151	12	1	168	4	963763200
159	12	1	176	2	984844800
1	13	1	189	4	963331200
150	13	1	190	3	963676800
173	13	1	201	4	1116518400
176	13	1	204	4	1248969600
167	13	1	207	1	970675200
180	14	1	211	1	962208000
183	14	1	214	2	1016553600
97	14	1	215	1	1079020800
188	14	1	221	3	1229184000
45	18	1	245	2	963331200
205	19	1	249	5	996076800
211	20	1	257	4	966096000
159	20	1	261	5	984758400
212	20	1	262	5	994608000
213	20	1	263	4	997804800
216	20	1	267	4	1053273600
219	20	1	270	4	1148140800
222	20	1	275	5	970243200
34	20	1	277	4	971280000
223	20	1	278	5	971452800
6	21	1	280	3	964540800
226	21	1	283	5	977932800
230	21	1	287	1	987436800
226	21	1	288	5	989337600
205	21	1	290	3	994348800
233	21	1	294	1	1134057600
126	22	1	301	2	977068800
200	22	1	305	3	1226160000
8	23	1	311	4	964454400
245	23	1	314	5	965232000
245	23	1	315	5	965232000
246	23	1	322	5	977328000
226	23	1	324	5	982080000
247	23	1	325	1	982339200
254	23	1	334	5	991238400
258	23	1	338	4	992275200
264	23	1	344	4	996768000
213	23	1	346	3	997804800
205	23	1	350	3	1032364800
269	23	1	351	2	1036080000
274	23	1	359	4	1152460800
277	23	1	362	5	1208275200
176	23	1	364	5	1248969600
38	23	1	368	4	970761600
281	24	1	371	4	964713600
282	24	1	373	5	991843200
285	25	1	379	4	965145600
289	25	1	387	5	993916800
291	25	1	390	5	1000569600
295	25	1	394	2	1066579200
297	25	1	396	4	1218988800
299	25	1	398	4	1222704000
106	26	1	403	1	1229270400
304	26	1	405	2	1230480000
306	26	1	407	3	1274112000
205	28	1	413	2	981302400
107	28	1	414	5	981907200
12	29	1	420	3	963676800
182	29	1	434	2	1000137600
324	30	1	442	5	966009600
136	30	1	447	3	981043200
62	30	1	454	5	1263571200
102	31	1	456	4	967737600
127	31	1	458	5	979228800
41	31	1	463	5	1280246400
332	32	1	464	4	983203200
62	32	1	466	5	1263830400
337	33	1	477	4	967305600
226	33	1	482	5	978537600
129	33	1	483	4	979747200
342	33	1	491	4	1068652800
349	34	1	500	3	963676800
6	34	1	502	1	964540800
354	34	1	509	1	983980800
357	35	1	514	4	1288713600
67	36	1	525	5	978451200
91	36	1	527	4	978796800
161	36	1	534	4	988992000
182	36	1	541	4	991411200
375	36	1	544	5	992016000
378	36	1	547	5	992275200
379	36	1	548	4	992448000
382	36	1	552	4	995558400
384	36	1	554	5	999619200
390	36	1	561	5	1006617600
394	36	1	565	5	1032796800
397	36	1	569	3	1094400000
401	36	1	574	5	974044800
14	37	1	577	4	967651200
9	37	1	580	4	979228800
255	37	1	584	5	992707200
233	37	1	587	5	1134662400
405	37	1	588	4	1159718400
406	37	1	589	3	1165161600
408	37	1	593	3	1234454400
62	37	1	595	4	1256054400
39	37	1	597	5	1306080000
410	39	1	604	3	963504000
412	40	1	607	4	963331200
414	40	1	609	3	964195200
237	40	1	622	4	963072000
197	41	1	636	4	974736000
363	41	1	637	3	977241600
129	41	1	638	4	978624000
432	41	1	646	4	986313600
436	41	1	653	1	968774400
272	41	1	655	4	1098979200
442	41	1	662	4	1286640000
237	41	1	665	3	962726400
445	41	1	666	3	1309881600
446	41	1	667	5	971539200
127	42	1	672	5	979488000
176	42	1	680	5	1248969600
237	42	1	682	3	962726400
388	43	1	689	5	1005494400
136	43	1	691	4	1025193600
439	43	1	696	5	1165075200
420	44	1	700	5	963676800
452	44	1	705	3	1124035200
439	44	1	708	4	1167580800
101	47	1	729	5	965664000
461	48	1	743	3	963331200
469	48	1	752	5	964368000
471	48	1	754	4	964454400
8	48	1	766	5	965577600
211	48	1	775	5	966096000
481	48	1	778	5	966441600
102	48	1	782	4	967478400
362	48	1	788	2	977068800
129	48	1	792	2	978624000
490	48	1	801	5	984153600
491	48	1	802	4	984585600
163	48	1	805	5	985276800
362	48	1	806	4	985622400
432	48	1	810	5	986832000
495	48	1	811	5	987696000
499	48	1	816	5	993052800
205	48	1	825	3	1003248000
507	48	1	826	5	1003420800
161	48	1	827	5	1003507200
508	48	1	830	3	1016035200
517	48	1	840	2	1139932800
520	48	1	843	3	1153497600
524	48	1	851	3	969811200
444	48	1	854	1	1334678400
526	48	1	855	5	970761600
529	48	1	858	5	973180800
327	49	1	863	4	1056211200
38	50	1	867	3	961776000
531	50	1	869	4	966096000
124	50	1	872	4	967564800
535	50	1	879	4	982684800
538	50	1	886	4	988732800
540	50	1	891	2	997113600
27	50	1	892	4	999014400
542	50	1	894	2	1004889600
